ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,23896,2007-12-10,,,G,,,,008
030302,24170,2010-01-01,2012-12-31,cessazione f.a.,A,,,,012
030302,24271,2005-02-01,,,G,,,,011
030302,24295,2005-02-18,,,G,,,,005
030302,24378,2005-07-01,2013-04-01,recesso f.a.,G,,,,011
030302,24716,2007-09-01,,,G,,,,012
030302,25075,2005-10-05,,,R,,,,001
030302,25094,2004-10-01,,,G,,,,010
030302,25113,2001-12-20,2011-04-11,Cessazione medico,A,,,,010
030302,25363,2006-12-27,,,G,,,,005
030302,25423,1999-04-01,,,G,,,,009
030302,25468,2007-09-01,,,R,,,,001
030302,25743,2003-05-15,2010-03-10,cessazione f.a.,A,,,,002
030302,25743,2010-03-11,,,G,,,,002
030302,25805,2006-06-22,,,G,,,,007
030302,25839,2004-10-01,2012-04-14,cessazione f.a.,A,,,,003
030302,25839,2012-04-15,,,R,,,,003
030302,25969,2003-08-01,2012-03-29,cessazione f.a.,A,,,,004
030302,25969,2012-03-30,,,R,,,,004
030302,26008,2005-02-01,,,G,,,,011
030302,26045,2005-10-01,,,G,,,,005
030302,26070,2005-04-15,2012-12-27,cessazione f.a.,A,,,,012
030302,26070,2012-12-28,,,R,,,,012
030302,26167,2005-07-01,,,G,,,,011
030302,26273,2003-01-01,2011-03-09,cessazione f.a.,A,,,,002
030302,26273,2011-03-10,,,R,,,,002
030302,26944,2002-02-01,,,G,,,,011
030302,27149,2007-07-18,,,R,,,,002
030302,27616,2000-01-01,,,G,,,,003
030302,27655,2005-10-03,,,G,,,,011
030302,27683,2004-10-01,,,G,,,,010
030302,27802,2006-12-27,,,R,,,,007
030302,27818,2007-01-10,,,R,,,,002
030302,27873,2008-08-28,,,R,,,,002
030302,28259,2005-02-01,,,G,,,,011
030302,28956,2002-03-01,2012-12-31,cessazione f.a.,A,,,,012
030302,28956,2013-01-01,,,R,,,,012
030302,28988,2005-09-23,,,G,,,,009
030302,29744,2003-01-01,2011-03-09,cessazione f.a.,A,,,,002
030302,29744,2011-03-10,,,R,,,,002
030302,29760,2004-02-16,,,G,,,,009
030302,29940,2004-05-01,2009-02-01,cessazione f.a.,A,,,,003
030302,29940,2009-02-02,,,R,,,,003
030302,30012,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,30012,2012-02-10,,,R,,,,010
030302,30031,2006-12-29,,,R,,,,001
030302,30035,2002-01-01,2011-04-23,cessazione f.a.,A,,,,005
030302,30040,2006-12-27,,,R,,,,001
030302,30043,2003-07-01,2012-12-31,cessazione f.a.,A,,,,004
030302,30043,2013-01-01,,,R,,,,004
030302,30073,2007-07-01,,,R,,,,008
030302,30088,2006-12-27,,,R,,,,001
030302,30108,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,30108,2012-02-10,,,R,,,,010
030302,30116,2006-12-27,2011-12-13,,G,,,,005
030302,30139,2005-07-01,,,G,,,,011
030302,30140,2007-09-01,2012-12-01,,R,,,,001
030302,30142,2007-09-01,,,R,,,,001
030302,30143,2005-04-01,,,G,,,,001
030302,30152,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,30152,2010-07-01,2013-01-01,recesso f.a.,R,,,,006
030302,30176,2002-03-01,2012-12-01,Cessazione medico,A,,,,012
030302,30189,2010-10-29,,,G,,,,011
030302,30209,2007-05-23,,,R,,,,004
030302,30237,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,30237,2012-12-31,,,G,,,,010
030302,30252,2008-07-21,2012-08-02,,G,,,,010
030302,30263,2003-02-01,2011-03-09,cessazione f.a.,A,,,,002
030302,30263,2011-03-10,,,R,,,,002
030302,30268,1999-05-01,,,G,,,,009
030302,30281,1996-09-02,2013-08-01,Cessazione medico,G,,,,001
030302,30292,1999-09-01,2012-12-31,cessazione f.a.,G,,,,001
030302,30318,2007-10-01,,,R,,,,006
030302,30342,2006-12-29,,,R,,,,001
030302,30352,2006-02-08,,,R,,,,001
030302,30361,2007-05-23,,,R,,,,004
030302,30390,2010-05-17,,,G,,,,009
030302,30432,2003-05-15,2010-03-10,cessazione f.a.,A,,,,002
030302,30432,2010-03-11,,,G,,,,002
030302,30452,2006-09-22,,,R,,,,004
030302,30466,2005-09-24,,,R,,,,004
030302,30473,2005-09-24,,,R,,,,004
030302,30474,2007-12-15,,,R,,,,001
030302,30476,2006-12-29,2013-07-01,Cessazione medico,R,,,,001
030302,30483,2008-07-21,,,G,,,,010
030302,30486,2008-07-21,,,G,,,,010
030302,30492,2007-05-30,,,R,,,,001
030302,30494,2005-05-01,2012-12-31,cessazione f.a.,A,,,,004
030302,30494,2013-01-01,,,R,,,,004
030302,30498,2005-09-24,,,R,,,,004
030302,30501,2008-12-31,,,G,,,,009
030302,30502,2005-03-14,,,G,,,,012
030302,30512,2005-03-01,2010-12-15,cessazione f.a.,A,,,,004
030302,30512,2010-12-16,,,G,,,,004
030302,30514,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,30514,2009-01-01,,,R,,,,008
030302,30515,1999-06-02,,,G,,,,004
030302,30524,2003-07-01,2012-12-31,Cessazione medico,A,,,,004
030302,30526,1999-09-01,2012-12-31,cessazione f.a.,G,,,,001
030302,30527,2002-01-30,2012-07-01,cessazione f.a.,A,,,,011
030302,30535,2006-12-27,,,G,,,,005
030302,30541,2007-05-30,,,R,,,,001
030302,30547,2006-12-29,,,R,,,,001
030302,30554,2007-10-01,,,R,,,,006
030302,30555,2004-04-14,2012-12-31,cessazione f.a.,A,,,,007
030302,30556,2005-11-28,,,R,,,,001
030302,30562,2006-08-01,,,R,,,,006
030302,30566,1999-04-30,,,G,,,,004
030302,30567,2005-07-01,,,G,,,,011
030302,30571,2007-10-01,,,R,,,,003
030302,30574,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,30574,2010-07-01,,,R,,,,006
030302,30575,2005-09-24,,,R,,,,004
030302,30579,2002-01-01,,,A,,,,005
030302,30581,2002-01-01,2012-12-31,cessazione f.a.,A,,,,004
030302,30581,2013-01-01,,,R,,,,004
030302,30582,2007-05-30,,,R,,,,001
030302,30589,2005-09-24,,,R,,,,004
030302,30597,2006-12-29,,,R,,,,001
030302,30600,2006-09-21,,,R,,,,006
030302,30602,2007-05-23,,,R,,,,004
030302,30603,2006-09-21,,,R,,,,006
030302,30612,2005-01-28,2011-11-21,Cessazione medico,G,,,,005
030302,30614,1987-07-01,,,G,,,,001
030302,30618,2010-05-17,2012-12-01,,G,,,,009
030302,30625,2007-10-01,,,R,,,,001
030302,30629,2007-04-01,,,R,,,,001
030302,30633,2005-05-03,,,G,,,,009
030302,30642,2005-04-01,,,G,,,,001
030302,30650,2004-06-01,,,G,,,,003
030302,30656,1999-07-09,,,G,,,,012
030302,30657,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,30657,2011-01-01,,,G,,,,002
030302,30663,2007-07-18,,,R,,,,002
030302,30672,2003-08-01,2012-12-01,cessazione f.a.,A,,,,004
030302,30690,1988-01-01,,,G,,,,003
030302,30695,2007-04-18,,,R,,,,001
030302,30699,2005-08-01,,,G,,,,002
030302,30700,1996-09-02,,,G,,,,001
030302,30720,2007-10-01,,,R,,,,009
030302,30724,2006-01-01,,,R,,,,006
030302,30729,2007-07-16,,,G,,,,007
030302,30730,2005-12-22,,,R,,,,006
030302,30735,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,30735,2012-02-10,,,R,,,,010
030302,30741,2000-12-31,2012-12-31,cessazione f.a.,G,,,,001
030302,30741,2013-01-01,,,G,,,,001
